,firm
0,共英製鋼（5440）
1,東ソー（4042）
2,いちご（2337）
3,アサヒビール（2502）
4,山陽特殊製鋼（5481）
5,アシックス（7936）
6,日本プロロジスリート投資法人（3283）
7,いちご不動産投資法人（8975）
8,伊藤忠商事（8001）
9,野村不動産レジデンシャル投資法人（3240）
10,インフォマート（2492）
11,ガリバーインターナショナル（7599）
12,日本ペイント（4612）
13,大和ハウス工業（1925）
14,三井物産（8031）
15,MCUBS MidCity 投資法人（3227）
16,スカイマーク（9204）
17,ソニー（6758）
18,三菱自動車工業（7211）
19,王子製紙（3861）
20,東京放送ホールディングス（9401）
21,アクティビア・プロパティーズ投資法人（3279）
22,第一三共（4568）
23,エヌ・ティ・ティ・データ（9613）
24,しまむら（8227）
25,常陽銀行（8333）
26,セブン銀行（8410）
27,Core Insight:  東芝（6502）
28,松竹（9601）
29,持田製薬（4534）
30,ケーヒン（7251）
31,野村不動産オフィスファンド投資法人（8959）
32,ソニーフィナンシャルホールディングス（8729）
33,ＳＣＲＥＥＮホールディングス（7735）
34,住友重機械工業（6302）
35,コニカミノルタホールディングス（4902）
36,合同製鐵（5410）
37,クレディセゾン（8253）
38,小糸製作所（7276）
39,日本郵船（9101）
40,西日本シティ銀行（8327）
41,Ｊ．フロント  リテイリング（3086）
42,J-POWER（9513）
43,伊藤忠食品（2692）
44,ＴＨＫ（6481）
45,ディスコ（6146）
46,プレミア投資法人（8956）
47,スギホールディングス（7649）
48,積水ハウス・ＳＩ投資法人（8973）
49,ＭＣＵＢＳ  ＭｉｄＣｉｔｙ投資法人（3227）
50,日本ビルファンド投資法人（8951）
51,朝日インテック（7747）
52,日本ペイントホールディングス（4612）
53,コネクシオ（9422）
54,信越化学工業（4063）
55,横河電機（6841）
56,八十二銀行（8359）
57,東邦ホールディングス（8129）
58,いちごオフィスリート（8975）
59,ダイセキ（9793）
60,ジーエス・ユアサ  コーポレーション（6674）
61,シスメックス（6869）
62,イオン（8267）
63,ショーワ（7274）
64,第一精工（6640）
65,ラウンドワン（4680）
66,伊藤園（2593）
67,ルネサスエレクトロニクス（6723）
68,大林組（1802）
69,オリンパス（7733）
70,いちごグループホールディングス（2337）
71,日本製紙グループ本社（3893）
72,アサツー  ディ・ケイ（9747）
73,大成建設（1801）
74,光通信（9435）
75,大塚ホールディングス（4578）
76,大京（8840）
77,テイ・エス  テック（7313）
78,ＴＳＩホールディングス（3608）
79,大和証券グループ本社（8601）
80,ヤマハ（7951）
81,積水ハウス（1928）
82,東レ（3402）
83,大正製薬ホールディングス（4581）
84,共立メンテナンス（9616）
85,Core Insight:  スルガ銀行（8358）
86,ファナック（6954）
87,九州フィナンシャルグループ（7180）
88,マツダ（7261）
89,ソフトバンクグループ（9984）
90,トヨタ自動車（7203）
91,Ｆ＆Ａアクアホールディングス（8008）
92,愛知製鋼（5482）
93,ニューフレアテクノロジー（6256）
94,平和不動産リート投資法人（8966）
95,大和ハウスリート投資法人（8984）
96,アミューズ（4301）
97,住友不動産（8830）
98,東京急行電鉄（9005）
99,住友金属工業（5405）
100,センコー（9069）
101,アズビル（6845）
102,ヤマダ電機（9831）
103,イー・アクセス（9427）
104,福島工業（6420）
105,エフ・シー・シー（7296）
106,マネックスグループ（8698）
107,日立キャピタル（8586）
108,ジャパン・ホテル・リート投資法人（8985）
109,ユニ・チャーム（8113）
110,ANA ホールディングス（9202）
111,岩谷産業（8088）
112,森精機製作所（6141）
113,ジュピターテレコム（4817）
114,アリアケジャパン（2815）
115,アートネイチャー（7823）
116,コカ・コーライーストジャパン（2580）
117,東京製鐵（5423）
118,イオンクレジットサービス（8570）
119,コメ兵（2780）
120,スタンレー電気（6923）
121,シャープ（6753）
122,積水ハウス・ＳＩレジデンシャル投資法人（8973）
123,ジャパンエクセレント投資法人（8987）
124,三井金属鉱業（5706）
125,富士電機（6504）
126,京阪ホールディングス（9045）
127,ユニー（8270）
128,マニー（7730）
129,三菱地所（8802）
130,三井不動産（8801）
131,ゴールドクレスト（8871）
132,レーザーテック（6920）
133,参天製薬（4536）
134,日本航空（9201）
