,stock_name,title,publish_day,analyst,rating,rating_change,file_name
0,商船三井（9104）,商船三井：ドライ市況の水準低下でプレミアムバリュエーション剥落へ(9月24日)／商船三井(9104),2010/9/24,板?ｱ王亮/星川織乃,2,新規格付,../data/individual_stock_else/SMBC/pdf/individual_stock/0/2010111013342300.pdf
1,川崎汽船（9107）,川崎汽船：コンテナ事業の影響大きく株価は上値の重い展開を予想(9月24日)／川崎船(9107),2010/9/24,板?ｱ王亮/星川織乃,2,新規格付,../data/individual_stock_else/SMBC/pdf/individual_stock/0/2010111013346000.pdf
2,日本郵船（9101）,日本郵船：10年ぶりのROE逆転でバリュエーション格差解消へ(9月24日)／郵船(9101),2010/9/24,板?ｱ王亮/星川織乃,1,新規格付,../data/individual_stock_else/SMBC/pdf/individual_stock/0/2010111013349200.pdf
3,川崎汽船（9107）,川崎汽船：2Q決算は会社計画比小幅上振れを予想(9月29日)／川崎船(9107),2010/9/29,板?ｱ王亮/星川織乃,2,変更無し,../data/individual_stock_else/SMBC/pdf/individual_stock/0/2010111013350800.pdf
4,伊藤忠商事（8001）,伊藤忠商事：バランス型でディフェンシブ。中国中心にアジアの商圏拡大先行(10月1日)／伊藤忠(8001)等,2010/10/1,村上貴史/柴山友希,2,新規格付,../data/individual_stock_else/SMBC/pdf/individual_stock/0/2010111013358500.pdf
5,丸紅（8002）,丸紅：利益成長期待の高まりでPERの割安感解消。堅調な銅価格のメリット大(10月1日)／丸紅(8002),2010/10/1,村上貴史/柴山友希,1,新規格付,../data/individual_stock_else/SMBC/pdf/individual_stock/0/2010111013359300.pdf
6,豊田通商（8015）,豊田通商：自動車生産の回復力弱く、サプライズは出づらい。投資評価「3」(10月1日)／豊通商(8015)等,2010/10/1,村上貴史/柴山友希,3,新規格付,../data/individual_stock_else/SMBC/pdf/individual_stock/0/2010111013360200.pdf
7,三井物産（8031）,三井物産：資源権益拡大で成長余力大、原油事故影響を織り込んでも割安(10月1日)／三井物(8031),2010/10/1,村上貴史/柴山友希,1,新規格付,../data/individual_stock_else/SMBC/pdf/individual_stock/0/2010111013360900.pdf
8,双日（2768）,双日：PBR割安も収益力低くPERは割高。海外自動車事業が復活の鍵(10月1日)／双日(2768)等,2010/10/1,村上貴史/柴山友希,2,新規格付,../data/individual_stock_else/SMBC/pdf/individual_stock/0/2010111013361500.pdf
9,住友商事（8053）,住友商事：成長ステージ変化、バリュエーション格差解消へ 投資評価「1」(10月1日)／住友商(8053),2010/10/1,村上貴史/柴山友希,1,新規格付,../data/individual_stock_else/SMBC/pdf/individual_stock/0/2010111013361600.pdf
10,三菱商事（8058）,三菱商事：積極投資の利益寄与は2 年後、バリュエーションは妥当な水準(10月1日)／三菱商(8058),2010/10/1,村上貴史/柴山友希,2,新規格付,../data/individual_stock_else/SMBC/pdf/individual_stock/0/2010111013362800.pdf
